#{"t_start": 1683883831.7376928, "env_id": null}
r,l,t
-85.936202,1059,2.981236
-18.985144,214,3.465356
-113.961518,1500,10.551299
-102.01022,1500,16.630519
-78.188944,1163,19.425813
-97.446727,1500,25.399444
-86.893576,1500,31.49911
-18.270571,329,32.208793
-74.466719,1500,38.219089
-11.629154,306,38.875559
-15.21583,381,39.678712
-20.887895,485,40.828498
-38.070748,892,45.329577
-0.614931,21,45.375205
0.157555,8,45.391778
-44.134959,1453,48.692808
-2.143061,38,48.770036
-21.34811,618,52.717137
-1.592645,30,52.778007
-1.481582,26,52.834472
-1.347778,53,52.946587
-7.031009,179,53.319806
-1.185751,59,53.440757
-0.69553,19,53.480155
-1.154457,16,53.511258
-4.950788,151,53.831014
-2.758243,67,54.156544
-0.8399,17,54.19011
-1.255863,26,54.241611
-3.265737,67,54.408345
-5.860134,303,55.089944
-5.719447,191,55.501084
-2.375471,149,55.826119
-7.686567,389,56.790181
-0.699174,20,56.837083
-0.508916,18,56.878425
-1.102821,21,56.923931
-4.951897,188,59.782179
0.610674,33,59.852841
-2.883618,136,60.135249
-1.986558,39,60.218761
-0.270702,66,60.355253
-3.271786,80,60.524804
-0.568575,14,60.555666
-2.428497,58,60.67685
-1.423581,72,60.817585
0.411732,23,60.86464
-1.268521,76,61.078981
-1.644732,23,61.150874
-0.552853,30,61.214216
-5.326011,250,61.805394
-1.192325,19,61.853159
-5.312109,125,62.125287
-0.67942,15,62.159325
-2.38261,154,62.483633
-1.072005,23,62.528851
-1.304456,16,62.566274
-2.442663,56,62.684556
-1.622613,56,62.8058
-1.675243,23,62.85428
-1.13007,41,62.936326
-0.246568,69,63.086833
-3.084647,176,63.54586
-1.061964,65,63.703787
-1.160753,16,63.735125
-0.494266,33,63.805292
-1.02017,26,63.855301
-0.456908,26,63.905975
-1.859767,151,66.674944
-0.946687,89,66.869679
-0.68179,32,66.938381
-1.084153,25,66.990559
0.133078,31,67.055034
-4.545844,178,67.426333
-2.397953,65,67.554921
-1.2,21,67.597044
-3.110736,224,68.142117
