#{"t_start": 1683883831.737597, "env_id": null}
r,l,t
-116.876888,1500,4.171533
-115.115329,1500,10.984216
-43.693137,572,12.441981
-106.584495,1500,18.57217
-0.201823,10,18.59415
-1.188657,12,18.624274
-28.27778,410,19.624528
-26.315013,440,20.639932
-6.061074,69,20.887119
-29.032544,468,24.465076
-41.930384,645,25.970653
-33.975942,561,27.28817
-10.883669,153,27.61349
-4.436553,51,27.72727
-3.65547,48,27.836167
-13.452298,231,28.486036
-3.987438,58,31.040339
-3.602646,53,31.15928
-21.969632,426,32.11214
-4.323115,87,32.298152
-7.164449,103,32.526273
-40.53308,712,34.196934
0.464198,17,34.232416
-1.234306,37,34.313813
-10.85098,150,34.636146
-3.2209,78,34.80173
-1.2,6,34.81494
-21.696603,438,38.415783
-1.786746,28,38.478667
-8.5327,149,38.801976
-1.4,7,38.818504
-4.995048,120,39.076716
-9.916111,222,39.557025
-2.883229,58,39.683597
-2.908633,56,39.806973
-2.331896,43,39.974609
-6.311798,95,40.213923
-0.494438,12,40.239568
-3.845326,95,40.474297
-2.101894,19,40.525014
-4.34807,68,40.682812
-1.589348,21,40.729493
-4.773244,109,40.969831
-7.166918,116,41.213902
-6.86927,138,41.534377
-5.924697,165,41.899369
-1.537691,13,41.928304
-1.998643,33,42.000836
-12.577662,237,42.588856
-12.135559,238,45.528914
-1.376731,10,45.551235
-5.166989,95,45.754394
-1.505438,29,45.817968
-0.774627,9,45.838249
-2.959817,75,45.99994
-5.895854,175,46.385735
-1.348738,29,46.458199
-11.646583,258,47.121201
-3.886623,114,47.411895
-2.299314,32,47.477251
-8.629041,216,47.962387
-1.899884,27,48.015446
-6.21293,129,48.286053
-3.608693,61,48.40872
-0.851853,25,48.46267
-2.813019,62,48.592315
-6.080465,117,48.836885
-2.691262,45,48.931881
-1.605552,49,49.030623
-4.627983,96,49.323167
-1.695269,13,49.348917
-2.074189,57,49.47204
-1.4,14,49.503221
-4.28973,85,49.714163
-5.123678,102,49.956984
-0.537858,16,49.990946
-1.598696,21,52.537912
-2.195494,91,52.734317
-1.852585,61,52.861132
-2.15141,44,52.953828
-1.09756,23,53.001552
-0.292477,10,53.022905
-3.066063,99,53.21909
-1.30818,26,53.273106
-2.779816,43,53.373623
