#{"t_start": 1683721653.649745, "env_id": null}
r,l,t
-4.9,100,0.691087
-5.1,100,0.886581
-5.1,100,1.077935
-5.198054,100,1.272942
-5.1,100,1.467905
-4.4,100,1.684299
-5.28062,100,2.021134
-4.6,100,2.233867
-5.4,100,2.440215
-4.6,100,2.641531
-5.5,100,3.560036
-2.714656,100,3.78471
-5.360604,100,4.033702
-5.686671,100,4.24443
-5.6,100,4.464006
-4.995454,100,4.666067
-4.5,100,4.885343
-5.2,100,5.090714
-5.7,100,5.29701
-5.398205,100,5.64556
-4.8,100,9.101052
-4.1,100,9.301056
-3.414078,100,9.498301
-3.4,100,9.706498
-3.113732,100,9.909753
-4.2,100,10.110941
-3.748026,100,10.310885
-4.199787,100,10.504391
-4.2,100,10.712427
-4.0,100,10.915171
-3.7,100,11.234955
-4.04301,100,11.445009
-3.4,100,11.662177
-3.023881,100,11.879605
-3.822229,100,12.083325
-3.400222,100,12.285014
-3.1,100,12.497015
-3.999989,100,12.69897
-2.452463,100,12.902824
-4.2,100,13.135521
-3.8,100,15.857792
-2.547845,100,16.06119
-2.602247,100,16.255332
-2.997417,100,16.456108
-3.6,100,16.658535
-3.3,100,16.854154
-3.099997,100,17.062157
-3.3,100,17.27076
-3.2,100,17.494527
-2.386384,100,17.740829
-3.098817,100,18.022981
-2.297777,100,18.226963
-2.9,100,18.437936
-3.995717,100,18.633176
-4.0,100,18.844722
-3.399673,100,19.072564
-2.682551,100,19.284622
-2.6,100,19.505075
-3.8,100,19.708567
-2.9,100,20.01245
-2.7,100,20.28043
-0.987785,100,22.841388
-3.1,100,23.046305
-1.749954,100,23.240306
-3.3,100,23.450221
-2.7,100,23.639843
-2.9,100,23.869536
-2.006181,100,24.091335
-2.8,100,24.308915
-2.709501,100,24.518253
-2.6,100,24.807559
-2.499993,100,25.018866
-2.099029,100,25.224049
-2.4,100,25.428587
-2.420286,100,25.621891
-3.3,100,25.828213
-1.759451,100,26.019763
-3.1,100,26.217386
-1.416718,100,26.399007
-2.183537,100,26.594237
-2.497059,100,26.916058
-2.499038,100,29.493859
-1.6,100,29.69642
-1.973781,100,29.888741
-1.8,100,30.09249
-1.565303,100,30.29475
-1.941127,100,30.537519
-2.183344,100,30.736416
-1.9,100,30.955171
-2.099987,100,31.169102
-2.79854,100,31.458113
-1.780149,100,31.659387
-2.3,100,31.866814
-2.067362,100,32.054735
-0.927738,100,32.252894
-1.7,100,32.460872
-1.8,100,32.677159
-1.627362,100,32.887061
-2.19992,100,33.090163
-1.37476,100,33.310257
-2.527971,100,33.617379
-2.2,100,33.83339
-1,72,37.132652
0,100,37.318487
-1,71,37.428317
-1,4,37.43454
-1,42,37.504568
-1,75,37.622228
-1,16,37.646385
-1,88,37.807675
-1,84,37.979782
-1,74,38.101458
