#{"t_start": 1683885515.6418188, "env_id": null}
r,l,t
-5.2,100,0.569261
-5.6,100,0.694397
-4.7,100,0.841894
-4.9,100,0.949965
-4.9,100,1.085909
-5.1,100,1.283059
-4.775474,100,1.405704
-5.7,100,1.551266
-4.284082,100,1.659728
-3.888575,100,1.773027
-5.4,100,2.386983
-3.068397,100,2.514876
-5.199929,100,2.621447
-4.799948,100,2.740903
-4.8,100,2.908917
-5.199999,100,3.105632
-4.832366,100,3.260584
-4.899184,100,3.412672
-5.152892,100,3.614727
-5.7,100,3.78154
-4.3,100,5.538509
-3.899719,100,5.646485
-4.5,100,5.752588
-3.286633,100,5.858545
-3.8,100,5.966436
-3.516625,100,6.070725
-4.7,100,6.181946
-3.2,100,6.310214
-4.2,100,6.471471
-3.995296,100,6.58468
-3.090414,100,6.735999
-5.0,100,6.896565
-4.2,100,7.017278
-4.5,100,7.126566
-2.574533,100,7.257539
-2.843722,100,7.390179
-4.1,100,7.495925
-3.769745,100,7.627971
-4.3,100,7.77576
-5.4,100,7.934344
-4.0,100,9.67695
-3.69766,100,9.808907
-2.185067,100,9.934312
-3.077302,100,10.046657
-3.799981,100,10.15623
-2.755353,100,10.259206
-3.5,100,10.364427
-2.606509,100,10.483046
-3.2,100,10.720477
-3.0,100,11.059057
-3.1,100,11.502023
-2.887466,100,11.712143
-4.260365,100,11.874585
-2.525551,100,11.994041
-3.1,100,12.118715
-2.4,100,12.448807
-2.7,100,12.816886
-3.1,100,12.958095
-4.299998,100,13.129055
-2.963169,100,13.251883
-3.6,100,13.472271
-3.5,100,15.1633
-2.599799,100,15.279539
-2.8,100,15.392663
-2.168587,100,15.51196
-2.997023,100,15.79154
-2.599127,100,15.968824
-2.489412,100,16.241542
-2.035039,100,16.394858
-2.3,100,16.513273
-2.352694,100,16.69843
-1.780398,100,16.824447
-2.268303,100,16.944512
-1.798661,100,17.067136
-1.799994,100,17.187287
-2.4,100,17.308301
-2.5,100,17.427882
-3.2,100,17.543952
-2.5,100,17.66033
-1.803715,100,17.786036
-2.039145,100,18.003325
-2.6,100,19.526082
-2.3,100,19.634287
-2.5,100,19.745533
-1.117975,100,19.874232
-2.5,100,20.014783
-1.8,100,20.122444
-2.2,100,20.231534
-1.036785,100,20.338499
-1.999063,100,20.447823
-1.730057,100,20.594981
-1.5,100,20.701783
-1.7,100,20.812723
-1.9,100,20.918618
-1.999997,100,21.025483
-2.2,100,21.138045
-2.001172,100,21.248494
-1.9,100,21.355837
-1.9,100,21.464671
-1.1,100,21.574667
-2.2,100,21.712566
-2.3,100,21.820998
-1,45,23.936344
-1,21,23.957248
-1,3,23.959877
-1,61,24.010708
-1,61,24.05931
-1,59,24.107193
-1,74,24.16987
-1,41,24.214983
-1,63,24.29743
-1,60,24.378554
