#{"t_start": 1683721653.649747, "env_id": null}
r,l,t
-4.403365,100,0.691127
-4.699999,100,0.884519
-5.6,100,1.073762
-3.521998,100,1.266036
-4.894062,100,1.458255
-4.385896,100,1.665663
-5.4,100,2.015307
-5.307713,100,2.218493
-5.4,100,2.426933
-4.1,100,2.626494
-5.199944,100,3.567755
-4.5,100,3.792469
-5.1,100,4.033331
-4.756717,100,4.237019
-4.499595,100,4.461569
-5.6,100,4.675517
-5.295598,100,4.893215
-4.5,100,5.088644
-4.6,100,5.290352
-4.6,100,5.614487
-4.8,100,9.14285
-3.903296,100,9.357836
-3.885071,100,9.556376
-5.4,100,9.754072
-5.021738,100,9.956905
-5.8,100,10.148982
-4.497489,100,10.355171
-4.2,100,10.560473
-4.5,100,10.761133
-4.1,100,11.007832
-3.6,100,11.288334
-4.4,100,11.504637
-4.499991,100,11.707022
-3.9,100,11.907507
-3.7,100,12.114877
-4.1,100,12.329981
-4.242269,100,12.549146
-4.132541,100,12.760942
-3.7149,100,12.973475
-4.0,100,13.248456
-3.699998,100,15.894612
-3.0,100,16.093863
-3.655479,100,16.292932
-3.207773,100,16.491101
-1,9,16.507991
-3.3,100,16.712381
-3.39375,100,16.906772
-3.887256,100,17.102676
-3.1,100,17.298591
-3.06102,100,17.509262
-3.376107,100,17.835469
-2.966143,100,18.050283
-2.999998,100,18.255003
-3.672665,100,18.456925
-3.1,100,18.664445
-3.2,100,18.903799
-3.7,100,19.116731
-2.8,100,19.322743
-3.6,100,19.529551
-4.6,100,19.736516
-2.892219,100,20.091818
-3.099881,100,20.303464
-3.3,100,22.887289
-2.4,100,23.076358
-3.7,100,23.276569
-2.2,100,23.471085
-1.789497,100,23.666324
-1.926716,100,23.910299
-2.7,100,24.139416
-1.010735,100,24.346496
-3.6,100,24.642698
-2.4,100,24.842865
-2.3,100,25.05374
-1.9,100,25.242599
-2.5,100,25.448785
-1.699885,100,25.644534
-2.3,100,25.849468
-2.292919,100,26.05281
-1.580731,100,26.257484
-1.208821,100,26.470983
-2.4,100,26.779668
-2.299999,100,26.982099
-3.1,100,29.55796
-2.378141,100,29.751892
-2.273261,100,29.956447
-1.544204,100,30.142485
-0.545008,100,30.343105
-2.6,100,30.582193
-1.899999,100,30.791814
-2.4,100,30.988891
-0.977032,100,31.274065
-1.253241,100,31.500558
-1.399802,100,31.691521
-0.676871,100,31.892218
-1.6,100,32.083586
-2.3,100,32.283444
-2.2,100,32.495994
-1.699998,100,32.732802
-1.9,100,32.921818
-1.6,100,33.110889
-2.164644,100,33.390617
-1.7,100,33.618739
-1.7,100,33.815413
-1,8,37.031937
-1,92,37.185781
-1,19,37.224966
-1,43,37.295032
-1,33,37.345829
-1,51,37.426038
-1,14,37.449625
-1,9,37.464455
0,100,37.623729
-1,19,37.653066
