#{"t_start": 1683883831.738956, "env_id": null}
r,l,t
-118.915719,1500,4.16083
-112.344395,1500,11.033347
-103.993515,1500,17.228409
-25.798426,386,18.084475
-91.948217,1500,24.251027
-7.620662,129,24.557229
-14.90755,283,25.17236
-30.406361,498,26.441086
-8.154873,168,26.818542
-8.523715,179,27.219138
-14.282335,227,27.723182
-25.200675,421,31.255128
-20.237512,405,32.157284
-33.370122,598,33.603127
-9.048229,197,34.021096
-20.67598,407,34.902357
-9.307386,139,35.316521
-2.173869,63,35.452296
-2.793585,44,35.575005
-31.012333,709,39.631661
-1.558057,19,39.673537
-12.100769,296,40.450918
-9.263089,209,40.879607
-6.804098,195,41.354839
-33.419597,796,45.682537
-7.617448,169,46.035765
-4.713721,97,46.234653
-4.770011,94,46.488889
-0.604796,115,46.723008
-1.499962,27,46.782344
-1.709406,30,46.871441
-2.299986,27,46.931283
-9.343132,232,47.542754
-3.279127,82,47.750738
-1.299565,17,47.785872
-1.933226,62,47.924905
-1.259291,26,47.981647
-0.544554,19,48.024271
-1.404297,23,48.071893
-4.147791,108,48.305216
-5.932025,202,48.751431
-10.824266,291,49.434498
-0.319693,8,49.452171
-8.386311,220,50.005938
-5.91779,136,52.751252
-2.226789,43,52.840889
0.130757,25,52.891355
-1.93479,68,53.036547
-0.540138,16,53.071775
-0.611878,17,53.109008
-0.717,20,53.152961
-0.865206,34,53.227158
-1.95089,58,53.355188
-0.254167,12,53.381576
-1.069979,52,53.49008
-4.014608,98,53.693627
-0.516782,25,53.74784
-1.376468,12,53.774925
-0.494225,77,54.089481
-2.44608,40,54.179245
-3.701466,94,54.439975
-1.220048,58,54.569977
-2.205398,84,54.748029
-1.661455,48,54.881343
-0.843826,27,54.943758
-4.135764,83,55.126836
-1.303652,23,55.175988
-1.049546,67,55.32168
-1.226807,66,55.468308
-0.535412,21,55.512329
-0.793324,16,55.543834
-6.500144,212,55.988023
-3.647241,101,56.199049
-1.051749,18,56.261413
-2.2,37,56.345326
-0.203615,8,56.40997
-3.717579,135,56.770202
-0.923726,16,56.810415
0.067335,21,56.85475
-3.960704,83,57.030395
-2.398239,57,57.160486
-4.770214,126,57.446151
-2.161431,88,60.079819
-1.060779,9,60.09983
-1.4,8,60.117496
-1.649084,89,60.306788
-1.161999,9,60.325929
0.692469,67,60.467127
-0.781985,26,60.518428
-1.543491,26,60.571154
-1.043328,34,60.640187
-3.581257,123,60.917118
0.596801,40,61.017335
-2.287628,65,61.181649
-0.970352,41,61.272758
-1.298566,15,61.312169
-1,14,61.420845
-0.63748,52,61.538168
-3.08176,115,61.783147
-1.330883,66,61.925578
-3.122519,63,62.060307
-1.780202,50,62.194839
-1.1,20,62.237218
-1.438598,17,62.274642
-3.41687,143,62.580693
-0.935416,35,62.656508
-0.223195,48,62.760411
-1.2,19,62.801086
-0.670868,40,62.887398
-1.1,8,62.904436
-2.249891,94,63.091738
-1.299727,33,63.165458
-0.216715,18,63.201432
-1.846565,94,63.447525
-1,10,63.468429
-5.080397,222,63.980951
-0.987598,25,64.034513
-2.796195,58,64.155734
0.073562,176,64.538195
-0.497652,52,67.157362
-1.629208,44,67.252328
-0.431777,36,67.332693
-1.087704,70,67.494112
-1.139919,62,67.629246
-1.096961,23,67.676073
0.420625,25,67.727245
0.643555,47,67.824222
0.287578,54,67.962772
-1.19693,23,68.011358
-0.695202,44,68.127356
-1.201591,18,68.174209
-0.964676,68,68.319704
-1.705913,36,68.43657
-0.361282,15,68.472883
-3.046597,66,68.631846
-1.753748,31,68.700908
-1.795541,55,68.820789
0.108644,69,68.965624
-0.076998,45,69.057153
-1.099065,19,69.09527
0.019192,99,69.338351
-1.19899,21,69.379062
-1.037893,25,69.431263
-1.6,12,69.457836
-1.677796,39,69.540539
-2.549158,101,69.753324
-0.531469,21,69.799288
-1.400226,54,69.909118
-0.312715,20,69.950246
-1.241287,79,70.114644
-1.483811,28,70.195759
-1.003435,19,70.240166
-0.015494,15,70.272945
-1.123994,23,70.326158
-2.250708,59,70.484217
-1,21,70.532247
-1.099999,11,70.555114
-1,18,70.594722
-2.74425,86,70.853216
-1.4,34,70.925059
-2.128348,80,71.092173
-0.565069,13,71.120526
0.991066,19,71.161723
-1.153557,23,71.209544
-0.682478,30,71.288909
-0.526432,15,71.328632
-0.949261,18,71.386793
-3.595013,121,71.732789
-1,15,71.765443
-1.681268,30,71.828649
-0.703101,57,74.4073
-1.261398,27,74.468049
-0.23053,23,74.517309
-1.899961,47,74.618112
-1.4,29,74.676163
-1.239472,13,74.702378
-1.090662,31,74.76525
-1.3,13,74.796027
0.900146,20,74.835492
0.744647,32,74.903132
-1.1,25,74.967092
-1,16,75.021871
-0.019991,37,75.094794
-1.396222,31,75.15732
-1.499979,43,75.279166
-1.691973,59,75.415663
-1.3,21,75.459176
-1.5604,102,75.726968
-2.131227,81,75.899836
-0.673943,44,75.985129
-0.277772,35,76.057408
-1.961053,110,76.302813
-0.873598,18,76.366185
-0.025892,15,76.40626
-0.938394,29,76.47952
-1.1,17,76.515265
-1.5,24,76.561544
-1.458302,25,76.613357
-1.264549,36,76.684522
0.359452,31,76.745942
-1.163506,17,76.783058
-0.120188,32,76.850106
-0.334571,34,76.920088
-0.240448,23,76.970948
-0.02781,23,77.020165
0.716288,29,77.081748
1.287321,83,77.276777
-1.199864,22,77.320629
-1.499259,28,77.381859
-1.799715,57,77.529941
1.401611,34,77.605178
-0.907186,8,77.622327
-0.228061,13,77.653099
-0.358938,22,77.700607
-0.391332,12,77.725744
0.29395,52,77.882943
1.580569,46,77.975502
-0.682267,40,78.054724
-1.041693,34,78.124228
-1.0663,12,78.148933
-1.595559,28,78.208002
-0.67516,33,78.277221
-1.555853,78,78.441966
-1.154243,22,78.492512
-1.203976,15,78.525558
-1.263138,37,78.629695
-0.080255,19,78.669921
-1.090377,26,78.724109
-1.19968,14,78.754112
-1.485844,33,78.8265
-1.096263,23,78.8761
-0.41468,40,81.482354
-1.019745,20,81.521299
-1.2,22,81.564484
-0.979165,27,81.617998
-1.295725,51,81.724512
-0.618036,95,81.970384
-1.579922,23,82.019648
0.117038,64,82.174558
0.532902,40,82.25868
-1.199999,38,82.347239
-2.0,25,82.400823
-1.299999,36,82.478473
-1,19,82.539494
-1.1,10,82.562292
-1.081017,26,82.619607
-1.1,9,82.652528
-1.599908,39,82.737889
-1.108981,42,82.819532
-0.578235,25,82.873657
-1.2,17,82.909047
-1.096307,52,83.017425
-2.160461,56,83.135445
-1,9,83.152957
-0.654022,46,83.250171
-1.499393,8,83.268815
0.732152,22,83.3141
0.598636,69,83.454276
-0.373139,30,83.535113
-1.003647,12,83.562699
-1.2,13,83.588998
-1.2,14,83.61988
-0.20284,35,83.694072
-1.1,16,83.727472
-1.293414,36,83.81162
-0.734465,61,83.933869
-0.457024,23,83.979269
-0.007596,13,84.004844
-0.256947,21,84.046786
-0.742907,24,84.097611
-0.185664,23,84.157489
-1.09982,10,84.175246
0.638085,76,84.361593
0.821729,15,84.411439
-1.199993,15,84.452677
-1.3,17,84.493534
-1.19966,26,84.549697
-0.325702,97,84.802365
0.931336,27,84.863437
-1.363133,21,84.909526
-0.14375,9,84.928684
-1.08365,31,84.994583
-0.869023,73,85.143276
-1.3,20,85.185378
-1.299997,28,85.24414
-1.099343,29,85.30823
-1.298786,22,85.354018
-0.485604,79,85.514508
-1.100669,31,85.580198
-0.58013,30,85.642634
-0.748997,81,85.853479
0.656098,40,85.941625
0.374681,68,88.590881
-1.1,23,88.63983
-1.072388,17,88.674203
-1.308732,98,88.872984
-0.663348,47,88.973972
-1.398904,47,89.07327
-1.152174,19,89.114873
0.050986,48,89.217476
-1,10,89.250044
-1.531893,37,89.333754
-1.308189,23,89.380392
-0.328628,30,89.445019
-1,19,89.517602
-1.017581,25,89.58537
-1.1,10,89.604982
-0.82721,19,89.652207
-1.2,16,89.687336
-0.950881,22,89.734898
-0.699887,26,89.79225
-0.905748,29,89.854497
-1.2,24,89.905993
-0.268767,32,89.973029
-1.291443,24,90.027833
-0.989855,26,90.084519
-1.033637,15,90.115148
-1.08737,15,90.145013
-2.091286,80,90.31447
-0.880252,13,90.340771
-1.366102,25,90.389472
-1,11,90.417842
-1,12,90.442605
-1.299508,11,90.466042
-1.212738,19,90.505652
-0.495486,68,90.650718
-0.38297,64,90.814186
-0.532558,42,90.899818
-2.712953,158,91.2629
-1.399969,26,91.334707
-1.03782,39,91.43144
-1.1,13,91.498584
-1.399569,18,91.538068
-0.109294,50,91.650112
-0.34436,17,91.68813
-2.089705,67,91.862757
-0.491266,29,91.926986
-1.69017,36,92.002772
-1.020382,19,92.042696
0.336768,41,92.126719
-0.633048,17,92.160637
-0.960041,20,92.199415
-0.161546,29,92.256358
-1.231924,39,92.342049
0.344492,21,92.384923
-1.882584,46,92.482478
0.598103,33,92.550707
-0.259579,26,92.605424
-1,14,92.634869
-0.086023,68,92.776886
-0.679796,44,92.872385
0.428876,33,92.963841
0.160297,20,93.00868
-1.403993,31,93.071076
-1.4,30,95.611411
-0.968737,38,95.690314
-1.608125,77,95.854916
-1.232839,57,95.998911
-0.423045,41,96.079042
-1.1,28,96.165109
-1.487175,18,96.207528
-0.242757,41,96.294342
-0.176467,20,96.334475
-1.309047,31,96.40967
-0.227639,42,96.559007
-1.428472,43,96.649964
-1.130563,34,96.723131
-0.243915,40,96.81099
0.481696,24,96.860656
0.303166,43,96.949977
-1.2,40,97.03282
-1.67134,43,97.121073
-1,23,97.167503
-1.3,35,97.240725
-0.905814,22,97.289894
-1.046269,39,97.376301
-1.07402,24,97.423024
-0.889577,49,97.523112
-0.981737,10,97.548155
-0.806653,13,97.579312
-1.584906,37,97.65373
-1.064333,25,97.70275
-1.272627,40,97.79121
-0.467887,115,98.056283
0.824825,34,98.123168
-1.1,17,98.176849
0.072427,63,98.317298
-1.5,15,98.351238
-1.093653,42,98.441087
-1.199511,16,98.485568
-1.2,11,98.510597
-0.512833,31,98.601134
-1.099999,16,98.633639
-0.253662,30,98.700597
-1,9,98.730101
-1.170401,28,98.798163
-0.460865,29,98.877689
0.67052,28,98.934972
-0.952175,15,98.967964
-0.72776,42,99.052282
-1,32,99.11641
-1.099429,12,99.140809
-0.235442,17,99.176429
-1.099808,24,99.224683
-1,14,99.25314
-1.4,24,99.3023
0.073078,62,99.434273
-1.099615,12,99.459245
-0.336245,22,99.50542
-1.072644,43,99.592989
-0.246416,19,99.632384
-0.675427,48,99.72937
-1.162104,21,99.773028
-0.127828,20,99.818271
-1.098602,10,99.839486
-1.071271,25,99.894648
-1.1,19,99.934017
-1.099075,26,99.994694
-1.128761,8,100.011289
-1,19,100.053849
0.688838,19,100.108275
-1.099264,48,102.764118
-1,19,102.806433
-1.167677,39,102.904688
-1.09676,7,102.919926
-0.380481,23,102.96796
-0.80969,26,103.056212
0.477174,120,103.340735
-1.020432,48,103.444008
0.656908,25,103.498063
-0.709727,57,103.650864
-0.758613,11,103.674054
-1,24,103.724856
-1.301118,22,103.771743
-1.192567,26,103.82943
-1.099811,34,103.900926
-1.093699,20,103.942458
1.394187,79,104.105953
-1.772245,93,104.299948
-0.025074,19,104.339324
-1.008985,25,104.38948
0.544029,57,104.507538
-1.098387,26,104.562542
-0.953725,29,104.626899
-1.097177,21,104.66976
0.047592,61,104.797212
